experiment_name,population_size,generations,mutation_probability,elitism_size,random_seed,fitness,initial_fitness,fitness_improvement,total_distance_km,total_duration_minutes,priority_penalty,time_window_penalty,capacity_penalty,hormonal_transport_penalty,route_duration_penalty,vehicle_compatibility_penalty,total_supply_demand,vehicles_count,longest_vehicle_id,longest_vehicle_name,longest_vehicle_duration_minutes,vehicle_routes
baseline_small,50,80,0.2,1,42,151154.8771,1718097.8436,1566942.9665,154.8771,445.1256,149000.0,0.0,2000.0,0.0,0.0,0.0,40,3,V001,Moto de atendimento,445.1256,V001: P001>P008>P007>P019>P020 | V002: P002>P014>P009>P011>P010>P012>P013>P016>P018 | V003: P004>P003>P005>P015>P006>P017
baseline_medium,100,150,0.2,1,42,155148.4949,938689.49,783540.9951,148.4949,477.9842,153000.0,0.0,2000.0,0.0,0.0,0.0,40,3,V003,Van operacional,477.9842,V001: P004>P003>P006>P020 | V002: P001>P011>P012>P010>P009>P014>P013>P018>P019 | V003: P002>P005>P007>P015>P017>P008>P016
large_population,150,200,0.2,1,42,154155.3489,938689.49,784534.1412,155.3489,525.7192,154000.0,0.0,0.0,0.0,0.0,0.0,40,3,V003,Van operacional,525.7192,V001: P001>P003>P007 | V002: P002>P009>P012>P013>P011>P014>P010>P020 | V003: P006>P004>P005>P008>P018>P019>P016>P015>P017
high_mutation,100,150,0.35,1,42,150139.2681,938689.49,788550.2219,139.2681,452.1347,150000.0,0.0,0.0,0.0,0.0,0.0,40,3,V003,Van operacional,452.1347,V001: P003>P004>P006>P007 | V002: P005>P011>P012>P009>P010>P014>P013>P020>P017 | V003: P001>P002>P008>P016>P015>P019>P018
low_mutation,100,150,0.1,1,42,151127.8974,938689.49,787561.5926,127.8974,454.0395,151000.0,0.0,0.0,0.0,0.0,0.0,40,3,V003,Van operacional,454.0395,V001: P005>P004>P006>P018 | V002: P002>P010>P014>P013>P009>P012>P011>P020>P016 | V003: P001>P007>P003>P008>P017>P019>P015
higher_elitism,100,150,0.2,3,42,151136.8199,938689.49,787552.6702,136.8199,402.759,149000.0,0.0,2000.0,0.0,0.0,0.0,40,3,V002,Veículo refrigerado,402.759,V001: P006>P003>P008>P018>P020 | V002: P001>P010>P011>P012>P013>P009>P014>P015>P019 | V003: P004>P007>P002>P005>P016>P017
no_fixed_seed,100,150,0.2,1,,153154.6309,598734.8837,445580.2528,154.6309,530.3219,153000.0,0.0,0.0,0.0,0.0,0.0,40,3,V003,Van operacional,530.3219,V001: P004>P001>P005>P007 | V002: P003>P011>P010>P012>P013>P009>P014>P015>P020 | V003: P002>P016>P008>P006>P018>P019>P017
